field,value
solver.name,directional_modular_weierstrass_solver.py
solver.working_precision_digits,100
solver.lattice_truncation,8
solver.q_series_terms,80
solver.solve_mode,real
input_echo.mode,regional_observed
input_echo.H_region_km_s_Mpc,72.6
input_echo.H_background_km_s_Mpc,0.0
input_echo.H_reference_km_s_Mpc,72.6
input_echo.H_local_km_s_Mpc,72.6
input_echo.H_baseline_km_s_Mpc,67.4
input_echo.primitive_time_s,5.391247e-44
input_echo.eta_in,1.0
input_echo.eta_out,1.0
input_echo.response_phase_rad,0.0
input_echo.solve_mode,real
input_echo.delta_initial_real,1.13e-16
input_echo.delta_initial_imag,0.0
input_echo.lattice_truncation,8
input_echo.working_precision_digits,100
input_echo.q_series_terms,80
input_echo.truncation_scan[0],4
input_echo.truncation_scan[1],6
input_echo.truncation_scan[2],8
input_echo.truncation_scan[3],10
input_echo.truncation_scan[4],12
input_echo.truncation_scan[5],16
input_echo.truncation_scan[6],20
input_echo.include_residual_branch,True
input_echo.illustrative_luminosity_W,1e39
input_echo.illustrative_domain_scale_m,3.0856775814913673e22
principal_branches.radiation_to_matter.physical.h_average_s_inverse,0.000000000000000002352805764136609060522225566496378992401611826272707324961036363686193156267575794427503690559464785
principal_branches.radiation_to_matter.physical.h_reference_s_inverse,0.000000000000000002352805764136609060522225566496378992401611826272707324961036363686193156267575794427503690559464785
principal_branches.radiation_to_matter.physical.tau_average_s,425024460260518899.249366391184573002754820936639118457300275482093663911845730027548209366391184573
principal_branches.radiation_to_matter.physical.l_effective_m,127419127651624281161421905.3558126721763085399449035812672176308539944903581267217630853994490358127
principal_branches.radiation_to_matter.physical.tau_s,5.391247e-44
principal_branches.radiation_to_matter.physical.duty_factor,1.268455701748420118771326701869690375364821255355725454757421241261409779514809919897989598921764285e-61
principal_branches.radiation_to_matter.physical.h_instantaneous_s_inverse,18548584399861479171701834473545730700151560.48313126814631197568948334216555093840070766559202351515
principal_branches.radiation_to_matter.physical.beta,4976652123348226483707286711468.075739191990101018443901997381383163485712536260971360988465733907812
principal_branches.radiation_to_matter.finite_lattice_solution.delta.real,0.0000000000000001126814619049715794507190444128659449773047029091212434987755412321217673189951928415739825537522048
principal_branches.radiation_to_matter.finite_lattice_solution.delta.imag,0.0
principal_branches.radiation_to_matter.finite_lattice_solution.phi.real,0.0
principal_branches.radiation_to_matter.finite_lattice_solution.phi.imag,1.000000000000000112681461904971579450719044412865944977304702909121243498775541232121767318995192842
