quantity,value
Planck mass energy equivalent (GeV),1.220890E+19
Reduced Planck mass (GeV),2435323203596525710.8505037255664373970174552210148
Atmospheric mass-squared splitting (eV^2),0.002513
Derived atmospheric mass scale (eV),0.050129831437977127911881803731386258261779396204679
"KATRIN m_beta upper limit, 90% C.L. (eV)",0.45
kappa modular benchmark,281005508341944
"kappa(P, m=0.05 eV)",494143703794756.44999604718750173018642844617168574
"kappa(Mbar_P, m=0.05 eV)",220695410174136.86625083509059764205961155230016811
"kappa(P, m=sqrt(Delta m^2))",493503396628968.57473434755301541808453544873627403
"kappa(Mbar_P, m=sqrt(Delta m^2))",220409434957806.49941525823677787917568119317005042
KATRIN-implied lower kappa bound with Planck partner,164714567931585.48333201572916724339547614872389525
KATRIN-implied lower kappa bound with reduced-Planck partner,73565136724712.288750278363532547353203850766722703
Predicted m using Planck scale and modular kappa (eV),0.15461330733807711706739758951932491717895328205560
Predicted m using reduced Planck scale and modular kappa (eV),0.030840892704930024954285359106000314065819608855377
Required partner scale for m=0.05 eV and modular kappa (GeV),3948204785925717948.6014849568
"Scalar-lift kappa for M_R=1E+14 GeV, m=0.05 eV",1414213562373.0950488016887242096980785696718753769
"Scalar-lift kappa for M_R=1E+15 GeV, m=0.05 eV",4472135954999.5793928183473374625524708812367192231
